agskey,buildingPermits,landPrices,householdIncome2019,consumerInsolvencies
07235,4.47,130.31,2024.64,0.46
07311,0.84,223.30149367088606,1856.52,0.64
07312,2.56,212.16,1635.07,1.05
07313,6.88,321.81,1863.73,0.3
07314,1.37,318.08,1667.06,0.51
07315,5.11,1582.15,1899.82,0.29
07316,4.73,427.91,2200.15,0.54
07317,2.54,89.17,1698.34,2.44
07318,5.12,0.0,2096.44,0.52
07319,1.55,328.95,1775.79,0.81
07320,2.35,107.59,1773.12,0.98
07331,4.48,211.24,1967.32,0.35
07332,3.14,256.81,2261.93,0.42
07333,2.21,109.14,1871.62,0.44
07334,3.36,324.86,1978.74,0.34
07335,2.89,137.29,1848.97,0.5
07336,2.38,67.82,1813.61,1.83
07337,3.89,221.67,2074.33,0.2
07338,2.85,849.29,2253.77,0.3
07339,4.08,307.06,2163.03,0.23
07340,2.64,62.47,2001.62,0.63
08111,1.93,1546.43,2231.92,0.44
08115,3.41,208.78,2202.38,0.32
08116,3.14,499.11,2219.28,0.37
08117,3.0,245.92,2079.25,0.41
08118,3.02,384.62,2252.33,0.33
08119,3.84,819.52,2181.21,0.41
08121,4.4,603.19,3514.12,0.78
08125,3.66,242.04,2156.89,0.22
08126,5.5,137.85,2142.63,0.5
08127,4.89,116.48,2046.52,0.56
08128,4.45,343.19,2009.5,0.27
08135,3.2,125.6,1979.81,0.63
08136,5.79,132.84,2109.74,0.41
08211,5.01,223.30149367088606,2476.19,0.3
08212,3.1,445.0,1935.57,0.45
08215,3.59,341.98,2099.7,0.42
08216,3.0,227.75,2049.34,0.32
08221,3.96,665.25,2018.36,0.13
08222,4.86,726.88,1871.07,1.04
08225,4.42,65.46,1945.79,0.35
08226,3.34,316.95,2153.56,0.36
08231,1.86,307.6,1935.44,0.62
08235,5.44,177.73,2058.0,0.52
08236,2.85,271.8,2244.49,0.27
08237,4.99,109.83,2135.59,0.52
08311,2.53,857.6,1896.82,0.37
08315,3.54,230.51,2141.28,0.32
08316,4.45,264.75,2027.49,0.49
08317,4.52,197.04,2026.53,0.45
08325,4.02,102.96,2177.1,0.7
08326,3.92,150.83,2145.87,0.68
08327,3.84,100.35,2242.17,0.29
08335,4.66,224.71,2164.67,0.32
08336,4.09,304.64,2340.45,0.31
08337,4.93,124.01,2157.56,0.36
08415,4.38,230.59,2140.84,0.29
08416,3.76,213.06,2027.05,0.33
08417,3.2,99.39,2192.31,0.45
08421,4.98,283.5,2410.3,0.38
08425,4.44,140.8,2051.26,0.21
08426,6.36,115.7,2093.75,0.31
08435,4.46,262.32,2268.46,0.23
08436,4.84,194.02,2084.82,0.28
08437,5.25,80.43,1989.67,0.24
09161,7.84,656.22,2057.89,0.48
09162,6.86,2544.39,2658.51,0.34
09163,2.33,490.74,1984.63,0.53
09171,4.62,150.94,2030.43,0.18
09172,5.05,462.71,2014.68,0.16
09173,10.26,784.04,2292.71,0.2
09174,4.0,924.2,2228.06,0.15
09175,5.32,1070.62,2393.9,0.13
09176,5.68,295.77,2112.61,0.1
09177,6.18,228.05,2207.82,0.27
09178,5.5,562.07,2113.63,0.37
09179,3.32,991.73,2274.39,0.29
09180,1.14,539.94,2207.12,0.21
09181,7.14,484.39,2282.88,0.24
09182,3.62,686.34,2962.35,0.48
09183,5.85,205.84,2063.06,0.21
09184,5.45,1814.36,2689.49,0.26
09185,6.36,232.55,2085.71,0.25
09186,6.72,399.57,2253.73,0.12
09187,5.94,553.92,2220.27,0.27
09188,4.96,1192.93,3202.32,0.16
