ags,breitbandversorgung50MbitsProzent,breitbandversorgung100MbitsProzent,breitbandversorgung1000MbitsProzent
01053080,6.06,6.06,1.52
01053081,99.53,99.53,99.53
01053082,95.07,94.37,94.37
01053083,99.57,98.91,92.33
01053084,100.0,100.0,100.0
01053085,100.0,100.0,100.0
01053086,100.0,100.0,100.0
01053087,89.18,89.18,89.18
01053088,100.0,97.8,95.6
01053089,100.0,100.0,100.0
01053090,99.4,98.93,90.66
01053091,100.0,100.0,100.0
01053092,89.83,79.9,44.31
01053093,99.69,99.69,99.39
01053094,100.0,100.0,100.0
01053095,99.65,99.65,99.65
01053096,99.4,98.21,98.01
01053097,97.78,94.62,80.06
01053098,99.1,99.1,99.1
01053099,100.0,100.0,100.0
01053100,99.02,97.26,85.88
01053101,95.04,95.04,95.04
01053102,68.97,68.97,68.97
01053103,97.99,97.99,97.99
01053104,93.99,92.27,90.56
01053106,100.0,100.0,100.0
01053107,96.79,93.27,91.67
01053108,99.63,99.63,99.63
01053109,100.0,100.0,100.0
01053110,99.62,98.5,93.23
01053111,97.84,97.3,95.69
01053112,100.0,100.0,100.0
01053113,100.0,100.0,100.0
01053114,92.5,91.25,91.25
01053115,4.19,2.62,2.62
01053116,98.77,98.28,90.57
01053117,99.38,99.38,99.38
01053118,98.84,98.06,98.06
01053119,99.09,99.09,99.09
01053120,97.88,97.88,97.88
01053121,100.0,100.0,100.0
01053122,97.98,97.98,97.98
01053123,97.9,97.9,97.9
01053124,100.0,100.0,100.0
01053125,98.71,98.71,90.99
01053126,100.0,100.0,100.0
01053127,100.0,100.0,100.0
01053128,98.88,98.88,98.88
01053129,98.48,96.14,87.32
01053130,100.0,100.0,100.0
01053131,95.71,94.29,88.57
01053132,10.54,5.95,0.0
01053133,99.2,96.18,86.53
01053134,100.0,100.0,100.0
01053135,100.0,100.0,98.7
01053136,99.63,98.15,97.05
01054001,74.92,66.31,5.44
01054002,85.36,85.36,85.36
01054003,2.64,0.0,0.0
01054004,6.0,0.0,0.0
01054005,95.75,25.0,0.47
01054006,80.66,80.66,80.66
01054007,97.22,97.22,97.22
01054009,52.14,50.58,50.58
01054010,60.28,58.54,58.19
01054011,100.0,100.0,100.0
01054012,86.46,86.46,86.46
01054013,4.29,1.43,1.43
01054014,67.96,67.76,67.76
01054015,96.32,0.61,0.61
01054016,87.85,85.98,85.98
01054017,86.6,81.37,76.8
01054018,27.18,13.59,7.77
01054019,97.55,95.91,40.92
01054020,97.36,95.91,62.27
01054022,30.5,26.95,19.86
01054023,89.86,64.69,1.4
01054024,82.7,82.52,82.52
01054025,4.26,0.0,0.0
01054026,0.0,0.0,0.0
01054027,96.08,96.08,96.08
01054032,0.0,0.0,0.0
01054033,96.57,95.52,88.24
01054034,85.37,85.37,85.37
01054035,43.68,16.32,3.68
01054036,94.67,85.27,3.6
01054037,67.5,66.25,66.25
01054038,67.24,66.67,66.67
01054039,100.0,100.0,100.0
01054040,6.67,6.67,6.67
01054041,98.13,98.13,98.13
01054042,88.98,83.68,81.61
