ags,breitbandversorgung50MbitsProzent,breitbandversorgung100MbitsProzent,breitbandversorgung1000MbitsProzent
05974020,97.59,94.84,68.59
05974024,90.88,90.11,73.75
05974028,98.2,96.21,84.95
05974032,96.0,90.78,75.32
05974036,95.59,92.99,74.3
05974040,99.02,97.78,68.92
05974044,96.99,95.23,85.44
05974048,94.52,88.13,77.36
05974052,92.48,86.86,15.15
05974056,83.13,82.21,71.29
05978004,97.99,93.96,62.62
05978008,95.08,84.99,48.48
05978012,88.74,63.66,45.53
05978016,98.47,96.11,82.62
05978020,97.34,94.95,79.88
05978024,98.68,96.36,72.22
05978028,98.45,96.72,74.61
05978032,94.99,90.12,79.5
05978036,96.48,93.08,67.49
05978040,93.12,88.86,50.48
06411000,99.34,97.18,74.51
06412000,99.15,98.57,94.26
06413000,99.74,99.35,66.71
06414000,99.16,98.62,90.81
06431001,95.64,1.91,1.91
06431002,98.79,97.98,88.23
06431003,96.0,90.42,0.34
06431004,96.44,48.36,42.77
06431005,97.93,93.14,33.59
06431006,99.64,99.2,85.49
06431007,97.09,9.27,0.55
06431008,98.53,27.93,1.91
06431009,95.76,1.27,1.27
06431010,99.02,98.41,5.14
06431011,99.22,92.15,85.21
06431012,99.11,96.57,50.92
06431013,98.67,96.64,68.35
06431014,97.59,94.75,84.55
06431015,95.33,21.04,0.21
06431016,99.22,97.24,84.56
06431017,97.58,16.01,0.3
06431018,96.37,89.39,0.16
06431019,96.63,3.63,0.6
06431020,98.98,98.63,50.63
06431021,91.11,12.66,0.23
06431022,98.99,97.06,87.05
06432001,99.07,97.81,77.75
06432002,97.79,95.28,1.53
06432003,98.92,97.63,87.61
06432004,97.64,91.82,2.04
06432005,99.24,93.65,9.86
06432006,99.23,95.81,0.24
06432007,99.65,89.84,2.52
06432008,99.11,97.17,62.32
06432009,98.83,90.79,3.16
06432010,98.19,94.01,3.13
06432011,98.23,94.48,1.28
06432012,98.09,94.2,1.24
06432013,98.37,93.31,0.93
06432014,97.67,91.86,28.56
06432015,98.48,93.41,0.26
06432016,98.38,91.7,35.75
06432017,98.26,93.91,0.53
06432018,98.61,95.72,44.83
06432019,98.75,94.6,0.39
06432020,98.53,95.81,46.47
06432021,98.67,92.45,2.24
06432022,99.15,98.08,83.31
06432023,98.06,95.34,70.93
06433001,97.63,88.61,0.42
06433002,99.66,98.42,86.3
06433003,99.45,98.77,50.85
06433004,96.75,92.52,0.18
06433005,98.84,98.16,77.64
06433006,99.19,97.56,63.95
06433007,99.1,98.77,31.21
06433008,99.55,99.22,64.02
06433009,99.08,96.13,68.52
06433010,99.8,99.62,98.19
06433011,93.02,64.1,0.85
06433012,98.08,97.11,60.93
06433013,98.89,94.7,0.89
06433014,93.98,47.5,0.46
06434001,99.09,96.83,66.94
06434002,98.16,97.69,75.13
06434003,98.45,93.96,54.27
06434004,97.99,91.91,21.6
06434005,98.9,98.05,74.77
06434006,99.48,97.97,71.81
06434007,99.64,99.57,91.27
06434008,99.67,98.93,88.64
06434009,97.82,93.0,68.13
06434010,100.0,99.81,91.96
06434011,99.55,99.23,60.23
06434012,100.0,94.78,25.74
06434013,92.73,92.48,80.46
06435001,99.16,98.38,81.65
06435002,94.43,38.34,29.63
06435003,93.74,47.98,31.0
06435004,91.94,13.89,0.41
06435005,91.43,1.02,0.13
06435006,98.37,88.17,59.61
06435007,94.94,92.14,49.81
06435008,86.24,11.82,0.18
06435009,94.76,62.17,14.07
06435010,95.84,70.77,53.34
06435011,99.01,97.0,97.0
06435012,95.79,73.25,57.76
06435013,91.06,19.52,0.09
06435014,98.94,93.81,76.59
06435015,96.65,57.28,10.13
06435016,94.28,11.88,0.31
06435017,95.58,50.36,27.21
06435018,93.9,27.49,20.81
06435019,98.45,94.58,69.12
06435020,94.99,39.9,28.43
06435021,96.03,43.5,36.04
06435022,99.42,98.84,84.67
06435023,97.0,76.98,0.58
06435024,94.22,66.94,0.67
06435025,92.53,44.45,31.33
06435026,96.04,48.8,41.15
06435027,91.99,18.53,0.2
06435028,96.94,70.92,54.19
06435029,93.88,30.53,22.14
06436001,99.29,98.05,55.12
06436002,97.65,87.37,15.99
06436003,99.7,99.13,84.93
06436004,98.68,97.18,1.76
06436005,98.6,98.03,41.32
06436006,98.26,95.75,6.27
06436007,97.67,93.34,68.75
06436008,98.89,94.53,0.59
06436009,99.29,98.58,65.34
06436010,97.79,96.1,20.19
06436011,99.15,98.25,36.14
06436012,98.74,97.7,69.49
06437001,97.48,42.64,1.28
06437003,97.82,7.75,0.09
06437004,99.0,10.08,0.78
06437005,98.39,0.32,0.32
06437006,98.65,68.26,13.18
06437007,96.99,0.37,0.37
06437009,98.49,19.4,0.65
06437010,98.05,0.17,0.17
06437011,99.31,87.13,37.06
06437012,91.98,0.92,0.92
06437013,92.7,29.07,19.21
06437016,92.4,11.12,0.13
06438001,99.64,99.4,93.82
06438002,99.33,97.49,44.76
06438003,97.73,93.28,51.02
06438004,99.31,97.84,41.99
06438005,99.89,99.45,11.13
06438006,99.63,98.61,72.54
06438007,57.83,48.35,37.71
06438008,98.95,96.45,54.65
06438009,99.85,99.69,97.02
06438010,99.15,98.6,1.66
06438011,99.5,98.27,63.76
06438012,98.32,94.92,42.37
06438013,98.93,95.6,59.57
06439001,93.9,92.08,72.51
06439002,77.01,72.9,43.33
06439003,98.78,98.01,60.0
06439004,86.88,85.33,0.16
06439005,75.49,67.92,38.49
06439006,91.62,81.54,1.4
06439007,97.79,91.5,4.88
06439008,96.61,89.11,16.36
06439009,99.66,99.6,1.89
06439010,23.36,14.3,0.44
06439011,99.21,98.46,91.37
06439012,98.52,97.07,7.01
06439013,99.1,98.25,0.62
06439014,65.48,61.75,14.08
06439015,98.93,96.35,74.7
06439016,99.16,98.37,91.17
06439017,100.0,100.0,100.0
06440001,99.0,95.3,1.47
06440002,99.46,98.84,75.73
06440003,99.46,98.96,93.24
06440004,97.76,95.7,0.72
06440005,96.55,93.11,42.89
06440006,96.88,91.33,0.16
06440007,98.01,94.35,1.56
06440008,96.85,95.75,19.02
06440009,97.25,92.43,0.25
06440010,93.93,90.61,0.0
06440011,71.77,25.35,0.15
06440012,99.09,98.3,1.22
06440013,95.96,92.89,0.09
06440014,95.57,41.66,1.96
06440015,96.41,92.06,0.66
06440016,98.85,94.78,0.61
06440017,99.0,92.77,2.66
06440018,94.48,83.35,3.38
06440019,95.66,92.61,0.15
06440020,98.55,94.36,0.04
06440021,97.45,91.41,0.1
06440022,97.93,91.24,0.0
06440023,98.56,94.62,0.69
06440024,97.97,91.55,0.9
06440025,98.15,93.17,4.39
06531001,94.62,71.14,0.11
06531002,96.35,90.68,45.21
06531003,97.98,93.74,52.4
06531004,99.69,99.6,97.43
06531005,98.69,96.74,69.37
06531006,92.25,86.21,53.03
06531007,98.83,96.51,68.93
06531008,95.43,89.0,16.45
06531009,96.41,89.51,0.2
06531010,94.03,89.06,43.66
06531011,96.96,91.85,36.93
06531012,95.86,92.36,63.35
06531013,98.8,97.59,82.58
06531014,96.58,92.17,26.4
06531015,95.89,85.58,62.08
06531016,91.74,80.56,24.35
06531017,92.37,76.62,48.49
06531018,98.2,88.74,38.47
06532001,97.3,94.38,13.11
06532002,95.15,89.41,26.03
06532003,97.69,95.38,5.83
06532004,96.77,93.09,5.95
06532005,98.75,96.87,51.0
06532006,98.07,95.53,59.79
06532007,94.62,86.58,1.82
06532008,94.86,91.16,20.45
06532009,98.03,94.45,56.91
06532010,95.33,89.86,5.47
06532011,97.12,91.59,49.61
06532012,98.15,95.14,32.25
06532013,92.6,86.35,33.88
06532014,95.34,93.06,16.55
06532015,96.69,92.44,0.94
06532016,98.17,94.22,63.16
06532017,97.65,95.83,24.04
06532018,93.73,91.31,0.36
06532019,97.84,94.6,66.82
06532020,96.83,90.33,70.89
06532021,96.05,93.88,2.65
06532022,98.75,88.46,0.53
06532023,97.25,94.6,39.86
06533001,94.69,79.56,0.74
06533002,97.46,84.74,0.65
06533003,98.69,95.24,0.68
06533004,97.41,93.3,1.17
06533005,97.51,95.12,0.19
06533006,98.89,97.8,0.39
06533007,90.1,57.15,0.56
06533008,96.31,83.87,0.75
06533009,98.09,96.49,1.86
06533010,96.3,93.75,55.45
06533011,94.18,90.44,1.22
06533012,96.32,92.63,59.47
06533013,97.63,94.86,4.74
06533014,90.75,81.44,0.49
06533015,92.69,84.59,28.23
06533016,97.2,92.32,0.96
06533017,98.32,96.05,60.26
06533018,96.64,92.22,25.42
06533019,97.36,92.12,26.85
06534001,97.4,94.05,13.37
06534002,97.67,92.57,81.64
06534003,97.47,92.67,34.26
06534004,97.91,96.03,64.82
06534005,98.0,96.69,80.88
06534006,99.24,98.57,78.55
06534007,97.69,92.41,38.5
06534008,98.61,94.08,35.18
06534009,98.46,96.06,0.74
06534010,97.58,93.69,53.65
06534011,98.43,94.98,7.49
06534012,97.46,90.51,3.9
06534013,97.7,92.8,18.8
06534014,96.61,94.5,75.13
06534015,96.01,87.56,5.0
06534016,94.45,91.29,0.9
06534017,97.3,93.03,3.21
06534018,98.25,93.45,4.38
06534019,98.04,94.69,62.88
06534020,98.14,94.82,4.17
06534021,98.76,95.16,4.08
06534022,97.13,91.38,3.49
06535001,87.38,83.35,0.55
06535002,91.64,85.36,0.25
06535003,88.17,78.58,0.08
06535004,18.34,14.0,0.15
06535005,26.32,20.64,0.15
06535006,47.86,40.72,0.08
06535007,50.3,35.65,0.28
06535008,35.69,30.73,0.29
06535009,87.23,85.17,66.49
06535010,84.93,72.08,0.62
06535011,95.47,93.01,0.12
06535012,21.74,15.17,0.19
06535013,90.86,83.14,35.97
06535014,73.66,67.88,0.26
06535015,84.24,81.47,0.25
06535016,53.92,48.59,0.39
06535017,90.73,88.73,0.8
06535018,56.61,48.99,1.16
06535019,94.46,91.75,0.48
06611000,98.87,96.5,68.53
06631001,99.67,99.09,0.98
06631002,98.27,93.5,34.56
06631003,95.79,86.43,25.29
06631004,97.05,92.14,60.88
06631005,97.53,96.16,0.91
06631006,100.0,100.0,100.0
06631007,98.32,91.11,8.55
06631008,98.46,93.8,44.49
06631009,99.24,98.33,80.38
06631010,95.31,88.58,18.94
06631011,97.32,95.51,0.25
06631012,97.21,91.72,25.46
06631013,95.53,90.35,40.66
06631014,97.8,93.39,5.21
06631015,99.03,96.45,66.49
06631016,97.71,91.52,51.86
06631017,98.97,97.65,77.43
06631018,98.44,96.04,64.1
06631019,98.98,94.8,3.07
06631020,99.78,99.01,88.73
06631021,94.1,85.42,4.11
06631022,94.81,88.87,2.82
06631023,96.47,93.1,2.59
06632001,97.41,90.01,59.27
06632002,98.75,93.91,31.81
06632003,98.92,97.3,44.21
06632004,91.02,67.54,0.14
06632005,94.15,58.62,0.77
06632006,95.4,71.67,2.67
06632007,98.48,89.97,56.13
06632008,88.44,58.34,0.16
06632009,4.88,3.87,0.11
06632010,93.34,73.79,0.56
06632011,91.99,58.1,0.32
06632012,96.81,89.29,0.08
06632013,93.51,80.22,0.39
06632014,92.35,44.65,0.16
06632015,91.81,63.99,0.55
06632016,99.21,98.06,91.22
06632017,83.73,72.09,0.27
06632018,97.73,92.85,44.82
06632019,97.29,83.08,6.12
06632020,94.9,64.57,0.04
06633001,71.59,67.61,43.85
06633002,91.0,69.04,0.17
06633003,95.21,82.16,58.44
06633004,38.99,36.75,0.0
06633005,56.29,38.67,0.66
06633006,69.7,36.35,0.0
06633007,29.96,0.26,0.0
06633008,97.04,96.73,94.28
06633009,70.92,65.96,48.1
06633010,81.76,65.43,51.13
06633011,76.32,72.89,53.38
06633012,14.21,13.25,11.84
06633013,78.91,76.77,27.53
06633014,74.54,57.17,34.7
06633015,95.34,61.76,4.9
06633016,60.83,33.29,0.07
06633017,98.6,86.83,33.92
06633018,48.15,24.27,0.22
06633019,96.7,72.28,0.0
06633020,90.95,82.57,48.49
06633022,88.87,56.13,0.05
06633023,73.91,32.45,1.59
06633024,72.19,42.62,0.14
06633025,56.14,32.66,0.18
06633026,99.08,93.75,54.82
06633028,68.17,56.72,27.7
06633029,57.21,51.81,24.13
06633030,44.13,28.33,0.24
06634001,96.34,69.42,35.35
06634002,94.98,32.98,2.01
06634003,94.14,73.07,24.3
06634004,93.04,57.83,0.51
06634005,96.44,85.93,40.89
06634006,89.29,57.39,0.0
06634007,9.61,0.83,0.69
06634008,91.03,41.96,0.97
06634009,97.59,86.38,60.85
06634010,84.41,55.56,0.58
06634011,88.19,48.98,0.2
06634012,83.31,0.07,0.0
06634013,98.07,82.78,0.4
06634014,97.33,93.65,78.93
06634015,90.81,76.6,42.04
06634016,93.48,68.63,9.51
06634017,91.27,60.31,0.1
06634018,92.74,55.14,0.78
06634019,87.48,55.26,0.13
06634020,92.14,61.89,0.11
06634021,85.94,49.89,0.15
06634022,93.24,82.95,44.48
06634023,94.58,69.28,1.0
06634024,93.73,61.93,0.14
06634025,92.4,56.72,1.16
06634026,95.86,83.8,43.97
06634027,97.17,84.94,59.22
06635001,98.99,96.34,71.09
06635002,98.0,93.61,20.49
06635003,97.89,92.43,81.99
06635004,90.46,76.49,55.3
06635005,88.95,75.42,52.49
06635006,97.96,92.39,49.35
06635007,89.68,64.8,24.61
06635008,92.9,65.21,0.21
06635009,90.11,67.5,12.45
06635010,89.51,77.06,42.26
06635011,97.84,93.77,52.15
06635012,88.96,75.45,0.12
06635013,82.12,62.45,0.06
06635014,88.16,77.15,34.53
06635015,98.37,96.83,72.97
06635016,94.01,66.82,4.11
06635017,96.03,85.53,60.68
06635018,96.16,78.9,54.52
06635019,91.25,74.93,39.74
06635020,98.06,89.36,63.7
06635021,89.02,62.77,0.15
06635022,87.73,65.06,0.16
06636001,97.99,86.98,0.99
06636002,94.32,61.49,0.27
06636003,99.22,98.43,0.41
06636004,90.55,60.5,0.03
06636005,92.26,59.95,0.4
06636006,93.06,77.56,46.84
06636007,96.87,91.77,0.23
06636008,92.68,60.72,0.07
06636009,90.56,62.36,0.25
06636010,92.8,64.7,0.0
06636011,86.88,60.29,1.72
06636012,91.48,61.44,0.1
06636013,95.15,84.74,0.1
06636014,98.72,89.4,0.26
06636015,91.19,43.85,0.0
06636016,95.31,81.43,41.49
07111000,97.68,96.26,75.58
07131001,99.66,99.45,3.09
07131002,94.64,84.29,21.43
07131003,91.82,81.19,3.97
07131004,94.05,71.73,22.02
07131005,94.53,86.72,86.72
07131006,99.14,97.83,56.74
07131007,97.04,93.45,79.32
07131008,2.93,0.0,0.0
07131009,100.0,96.88,3.12
07131011,88.16,60.74,60.74
07131014,94.37,48.63,1.79
07131015,95.45,90.91,0.0
07131016,96.52,80.87,72.17
07131017,98.83,95.83,1.43
07131018,5.45,4.55,4.55
07131021,94.55,85.45,69.09
07131022,8.7,0.0,0.0
07131025,97.38,80.9,0.0
07131026,93.98,93.98,92.77
07131027,87.07,85.03,42.18
07131028,95.08,90.98,0.82
07131029,36.33,34.73,20.76
07131030,30.67,29.33,29.33
07131032,91.67,90.28,0.0
07131033,95.4,91.63,63.6
07131034,93.98,74.54,12.5
07131036,83.04,0.0,0.0
07131037,91.24,90.32,1.84
07131039,98.38,83.77,77.92
07131040,76.65,70.04,51.1
07131041,87.06,74.76,2.91
07131042,97.14,91.43,0.0
07131044,14.22,10.78,8.19
07131047,94.58,94.58,2.37
07131049,9.26,0.0,0.0
07131050,92.71,41.67,29.17
07131051,93.15,92.24,1.37
07131052,93.27,60.58,0.96
07131054,91.96,82.03,22.22
07131055,97.65,80.81,65.78
07131058,99.15,90.68,36.44
07131059,88.83,81.28,4.75
07131060,99.17,79.67,78.22
07131062,98.73,79.75,48.1
07131065,4.6,4.6,4.6
07131066,97.08,94.89,0.0
07131068,2.14,0.0,0.0
07131069,99.24,83.21,79.39
07131070,74.39,67.19,52.62
07131072,99.06,98.11,1.89
07131073,81.03,53.4,1.65
07131074,6.94,5.49,5.49
07131075,96.3,75.93,0.0
07131076,97.62,97.62,0.0
07131077,99.09,93.54,80.52
07131079,96.43,96.43,0.0
07131081,93.09,0.83,0.83
07131082,89.58,79.76,41.48
07131083,5.26,0.88,0.88
07131084,97.26,93.15,0.46
07131085,97.87,79.79,79.79
07131086,3.03,1.52,1.52
07131090,38.79,28.6,0.91
07131201,100.0,100.0,100.0
07131202,96.84,79.17,46.64
07131204,97.89,90.53,90.53
07131205,76.83,0.39,0.39
07131206,62.28,10.78,10.78
07131208,81.66,64.76,64.76
07131209,99.82,88.75,83.39
07131210,88.8,2.51,2.51
07131211,90.92,58.04,6.25
07131501,17.96,14.92,14.92
07131502,69.14,33.97,33.97
07132001,98.8,73.49,0.0
07132002,100.0,99.54,0.3
07132004,85.42,81.25,0.0
07132005,100.0,57.65,1.18
07132006,100.0,95.2,0.02
07132007,95.08,90.71,0.0
07132008,94.94,79.41,0.55
07132009,93.12,75.71,0.0
07132010,95.74,56.72,1.64
07132011,92.89,82.72,2.44
07132012,97.16,90.52,0.09
07132013,95.56,65.54,0.0
07132014,96.66,76.25,0.0
07132015,95.09,85.66,0.0
07132016,97.74,88.24,0.0
07132017,96.27,83.23,0.0
07132018,97.07,89.23,0.2
07132019,97.33,76.94,0.0
07132020,91.79,88.81,0.75
07132022,86.98,62.79,0.0
07132023,88.16,83.33,0.44
07132024,89.36,86.52,0.0
07132025,72.19,32.79,0.25
07132026,99.09,96.05,0.91
07132027,100.0,96.43,0.0
07132028,91.73,65.75,0.2
07132029,77.42,74.19,3.23
07132030,97.02,95.24,0.0
07132031,95.61,87.72,1.75
07132032,92.13,85.23,3.69
07132033,96.48,72.54,0.0
07132034,95.37,85.77,2.49
07132035,92.65,86.76,1.47
07132036,94.57,77.39,0.87
07132037,75.34,56.65,4.63
07132038,88.1,86.56,0.19
07132039,93.71,86.65,0.13
07132040,98.1,95.44,0.0
07132041,100.0,100.0,1.96
07132042,100.0,99.56,0.0
07132043,98.34,95.35,0.33
07132044,97.38,92.45,2.81
07132045,92.52,84.58,0.0
07132046,97.1,58.7,0.0
07132047,95.44,90.03,0.0
07132048,87.83,77.39,8.7
07132049,93.27,92.31,0.0
07132050,97.09,91.29,0.44
07132051,96.63,87.64,0.0
07132052,97.66,93.75,2.34
07132053,83.97,59.54,9.16
07132054,82.66,74.17,1.85
07132055,94.05,86.39,0.1
07132056,95.83,0.0,0.0
07132057,96.8,69.41,0.0
07132058,87.27,81.82,0.0
07132059,93.47,86.94,0.0
07132060,86.76,85.29,0.0
07132061,92.56,84.3,0.0
07132062,84.65,48.43,0.0
07132063,97.17,92.34,0.32
07132064,98.55,97.1,0.0
07132065,96.85,88.19,0.39
07132066,90.36,77.11,6.02
07132067,91.65,77.72,0.0
07132068,95.56,93.33,0.0
07132069,97.38,84.82,1.05
07132070,84.57,77.13,0.53
07132071,95.3,67.95,0.0
07132072,99.02,97.45,46.94
07132073,95.82,81.76,0.88
07132074,84.27,56.08,0.0
07132075,96.96,73.48,0.0
07132076,93.27,83.26,18.73
07132077,91.23,91.23,0.0
07132078,84.09,53.41,0.0
07132079,94.77,0.58,0.0
07132080,87.67,54.99,0.86
07132081,97.0,82.4,8.58
07132082,97.61,87.65,0.0
07132083,90.18,78.57,0.3
07132084,89.61,85.71,1.3
07132085,98.08,91.35,0.0
07132086,94.8,84.97,0.0
07132087,97.37,94.74,0.0
07132088,87.04,77.78,0.0
07132089,95.83,86.11,10.42
07132090,98.27,93.95,0.0
07132091,93.56,74.75,0.0
07132092,94.12,94.12,0.0
07132093,96.02,86.36,0.0
07132094,94.34,90.57,0.0
07132095,94.84,83.23,0.32
07132096,94.16,71.27,0.0
07132097,90.22,84.78,0.0
07132098,100.0,98.71,6.34
07132099,92.05,85.8,0.0
07132100,94.17,85.44,0.0
07132101,99.37,96.23,0.63
07132102,97.06,95.59,23.53
07132103,94.48,88.28,0.69
07132104,86.96,81.16,0.0
07132105,98.71,92.93,0.0
07132106,98.97,87.63,20.62
07132107,92.06,80.6,1.59
07132108,100.0,92.74,0.0
07132109,96.83,92.86,15.08
07132110,100.0,100.0,0.0
07132111,99.0,95.2,0.0
07132112,94.67,80.0,0.0
07132113,95.08,84.56,0.19
07132114,80.46,72.41,0.0
07132115,96.5,87.28,0.48
07132116,98.06,94.52,0.0
07132117,93.8,87.7,0.22
07132118,96.82,96.82,0.0
07132119,92.21,64.94,0.0
07132201,97.08,73.33,0.83
07132501,97.66,92.7,1.13
07133001,93.68,20.0,20.0
07133002,82.56,0.0,0.0
07133003,99.39,99.39,78.35
07133004,85.88,2.35,0.59
07133005,96.67,78.89,64.44
07133006,98.06,96.08,61.67
07133008,79.33,65.87,56.25
07133009,98.02,97.03,0.0
07133010,95.16,93.01,0.0
07133011,72.24,50.61,50.61
07133012,100.0,99.61,0.39
07133013,95.13,89.7,77.9
07133014,90.7,0.0,0.0
07133015,90.87,1.19,0.4
07133016,100.0,100.0,97.37
07133017,11.05,11.05,11.05
07133018,98.4,96.98,91.13
07133019,85.59,0.0,0.0
07133020,3.51,2.92,2.34
07133021,95.15,0.0,0.0
07133022,100.0,90.11,70.33
07133023,92.94,92.94,92.94
07133024,100.0,0.0,0.0
07133025,90.53,59.76,5.62
07133026,99.63,99.25,96.64
07133027,5.22,0.8,0.8
07133028,100.0,76.04,68.75
07133030,99.85,99.71,79.82
07133031,76.65,76.65,59.25
07133032,99.07,93.16,61.28
07133033,94.52,93.15,0.0
07133035,95.41,82.75,82.75
07133036,90.98,3.76,3.51
07133037,98.0,94.88,28.92
07133038,100.0,100.0,64.29
07133039,100.0,0.0,0.0
07133040,98.43,93.78,77.01
07133041,95.43,82.86,70.86
07133042,100.0,93.33,93.33
07133043,99.03,97.68,68.15
07133044,92.89,0.0,0.0
07133045,97.07,0.0,0.0
07133046,98.56,85.86,73.17
07133047,92.11,71.05,71.05
07133048,99.82,98.9,73.48
07133049,100.0,0.0,0.0
07133050,100.0,87.93,87.93
07133051,100.0,0.0,0.0
07133052,98.66,98.29,74.3
07133053,100.0,100.0,100.0
07133054,95.78,88.42,87.8
07133055,100.0,59.09,59.09
07133056,98.39,89.28,89.28
07133057,89.84,71.54,0.0
07133058,96.04,6.93,6.93
07133059,11.38,10.57,8.94
07133060,98.04,95.1,95.1
07133061,96.88,82.29,0.26
07133062,98.45,95.35,30.23
07133063,99.39,97.58,61.82
07133064,99.45,98.52,83.18
07133065,67.73,63.77,1.71
07133066,96.42,89.89,76.98
07133067,96.85,95.35,7.65
07133068,82.86,0.0,0.0
07133069,96.11,0.73,0.49
07133070,99.17,0.83,0.83
07133071,97.47,89.57,74.81
07133072,77.66,36.7,36.7
07133073,98.39,98.12,59.79
07133074,4.85,0.0,0.0
07133075,99.15,99.15,66.67
07133076,94.1,80.51,63.33
07133077,100.0,100.0,100.0
07133078,64.62,2.23,2.23
07133080,100.0,92.19,0.0
07133081,38.42,33.99,33.99
07133082,100.0,94.12,94.12
07133083,99.1,1.5,0.9
07133084,100.0,100.0,100.0
07133085,100.0,100.0,97.44
07133086,97.87,94.63,4.91
07133087,99.82,99.29,95.05
07133088,89.4,0.0,0.0
07133089,75.0,15.7,0.58
07133090,96.59,96.59,96.59
07133091,98.93,98.22,91.81
07133092,3.9,0.0,0.0
07133093,98.92,98.11,96.77
07133094,97.82,90.39,90.39
07133095,95.03,76.5,71.53
07133096,98.37,91.83,69.22
07133098,79.41,0.59,0.59
07133099,84.15,11.18,11.18
07133100,83.75,1.25,1.25
07133101,90.6,0.63,0.63
07133102,99.83,99.5,79.57
07133103,97.79,97.54,95.45
07133104,80.88,80.88,80.88
07133105,99.62,95.44,71.48
07133106,99.79,93.78,10.37
07133107,97.95,97.54,74.59
07133108,96.23,74.93,38.54
07133109,89.54,71.3,14.05
07133110,94.68,94.68,94.15
07133111,99.49,91.84,91.33
07133112,92.9,0.54,0.13
07133113,95.74,81.91,13.83
07133114,98.95,98.69,98.56
07133115,97.69,97.22,14.35
07133116,100.0,89.52,89.52
07133117,96.51,23.28,0.08
07133201,95.65,89.86,86.23
07133202,93.33,82.22,82.22
07133203,100.0,96.15,0.0
07133204,100.0,91.67,91.67
07133205,98.4,88.0,88.0
07133501,97.31,92.7,77.61
07134001,65.62,52.08,52.08
07134002,93.99,72.13,72.13
07134003,76.95,9.74,9.74
07134004,81.67,60.0,60.0
07134005,89.12,76.58,67.19
07134006,77.45,60.29,60.29
07134007,93.19,92.67,92.67
07134008,71.31,34.66,34.66
07134009,69.91,1.77,0.0
07134010,96.41,82.81,73.25
07134011,98.92,98.92,98.92
07134012,85.29,41.18,41.18
07134013,84.0,72.8,72.8
07134014,99.09,99.09,99.09
07134015,87.97,87.97,87.97
07134016,62.39,38.99,38.99
07134017,76.68,0.72,0.48
07134018,87.88,3.03,3.03
07134019,96.84,82.63,82.63
07134020,85.07,62.69,62.69
07134021,79.55,0.0,0.0
07134022,97.83,97.83,97.83
07134023,97.14,57.14,57.14
07134024,57.48,3.15,2.36
07134025,100.0,100.0,54.95
07134026,73.94,40.14,40.14
07134027,99.43,93.71,92.0
07134028,98.18,98.18,96.36
07134029,80.22,51.1,51.1
07134030,94.12,94.12,94.12
07134031,98.44,3.12,3.12
07134032,74.19,0.0,0.0
07134033,53.85,0.0,0.0
07134034,91.67,1.52,1.52
07134035,98.9,97.8,97.8
07134036,81.56,64.34,61.48
07134037,62.63,1.01,1.01
07134038,100.0,99.59,72.2
07134039,97.64,97.64,75.22
07134040,96.6,95.68,0.31
07134041,99.29,97.14,0.71
07134042,87.62,59.86,32.73
07134043,83.97,26.92,26.92
07134044,75.64,44.0,44.0
07134045,98.14,93.31,62.14
07134046,94.12,78.92,25.49
07134047,98.99,98.78,78.09
07134048,93.83,85.19,85.19
07134049,85.94,3.12,1.56
07134050,97.92,91.25,91.25
07134051,100.0,96.08,96.08
07134052,98.76,98.76,21.12
07134053,96.3,90.74,90.74
07134054,56.3,35.29,34.45
07134055,100.0,86.48,85.22
07134056,96.76,95.88,65.29
07134057,100.0,100.0,72.35
07134058,90.21,51.05,51.05
07134059,98.62,98.62,75.17
07134060,97.12,96.88,63.31
07134061,79.01,75.93,75.93
07134062,80.42,67.72,67.2
07134063,55.64,24.81,24.81
07134064,74.36,0.0,0.0
07134065,96.86,67.92,64.15
07134066,99.23,86.21,86.21
07134067,98.48,98.48,74.24
07134068,76.23,55.33,55.33
07134069,97.06,81.32,78.8
07134070,94.44,62.96,62.96
07134071,71.43,46.1,46.1
07134072,84.29,12.86,12.86
07134073,71.74,0.0,0.0
07134074,79.11,1.9,0.0
07134075,99.74,91.34,91.34
07134076,92.89,45.19,45.19
07134077,98.84,86.05,86.05
07134078,91.3,90.22,90.22
07134079,100.0,83.33,83.33
07134080,66.52,49.32,49.32
07134081,98.1,88.57,28.1
07134082,97.91,68.62,1.67
07134083,95.24,78.57,78.57
07134084,99.44,98.88,69.27
07134085,76.42,48.11,48.11
07134086,83.05,0.0,0.0
07134087,78.41,0.0,0.0
07134088,85.42,46.53,46.53
07134089,100.0,99.07,64.8
07134090,99.59,99.59,87.35
07134091,96.23,79.25,3.77
07134092,80.95,0.0,0.0
07134093,96.39,27.71,27.71
07134094,88.89,70.09,70.09
07134095,98.73,96.82,96.82
07134502,97.35,97.35,97.35
07135001,89.21,5.07,4.63
07135002,89.77,9.09,8.24
07135003,97.87,85.53,4.68
07135004,98.8,0.0,0.0
07135005,77.82,4.51,4.51
07135007,84.62,0.0,0.0
07135008,79.09,0.91,0.91
07135009,76.58,0.32,0.0
07135010,99.04,82.88,3.56
07135011,77.24,0.0,0.0
07135012,98.06,0.0,0.0
07135013,89.39,3.22,3.22
07135014,91.57,0.0,0.0
07135015,98.12,0.62,0.62
07135016,72.53,1.65,1.65
07135017,95.06,88.01,4.59
07135018,100.0,89.32,0.78
07135019,94.96,80.14,0.29
07135020,98.49,97.53,1.32
07135021,94.1,1.85,1.11
07135022,66.94,1.65,1.65
