PLZ,AGS
94148,09275
14195,11000
14167,11000
09599,14522
14059,11000
94518,09272
13467,11000
10553,11000
10623,11000
94152,09275
12053,11000
54536,07231
45892,05513
45879,05513
53175,05314
56814,07135
53113,05314
48607,05566
55765,07134
53173,05314
42107,05124
42855,05120
53797,05382
44628,05916
44803,05911
56659,07131
47652,05154
52159,05334
52156,05334
52457,05358
47495,05170
66780,10044
54298,07235
41472,05162
54314,07235
47167,05112
40233,05111
41539,05162
54426,07235
50667,05315
45145,05113
54426,07231
66133,10041
85057,09161
99510,16071
85304,09186
83646,09173
83623,09173
80992,09162
07751,16074
95339,09477
85126,09186
07806,16075
93333,09273
85406,09178
85445,09177
85417,09178
95191,09475
18239,13072
06388,15082
06369,15082
95508,09377
06120,15002
93342,09273
98587,16066
23860,01062
38102,03101
38524,03151
23560,01003
38700,03153
91743,09571
87659,09777
38170,03158
96170,09471
23744,01055
98559,16054
23569,01003
86983,09777
21371,03355
91086,09572
98693,16070
96049,09461
38154,03154
38382,03154
86694,09779
86931,09181
82409,09190
96231,09478
90765,09563
99638,16068
82380,09190
12059,11000
10369,11000
94078,09272
12555,11000
01156,14612
01445,14627
15748,12061
01809,14628
01237,14612
17321,13075
02959,14626
02943,14626
02923,14626
39435,15089
91217,09574
83670,09173
80689,09162
80687,09162
85411,09178
39418,15089
95494,09472
07389,16075
19417,13074
85290,09186
82024,09184
92280,09371
95236,09475
06406,15089
95213,09475
39579,15090
84104,09178
95152,09475
39217,15089
85464,09177
85591,09175
93358,09273
83620,09187
19376,13076
85614,09175
82398,09190
91332,09471
86577,09771
82499,09180
82239,09179
29485,03354
86567,09174
06467,15089
82444,09173
86579,09185
96352,09476
19061,13004
06682,15084
06118,15002
18258,13072
83543,09187
06847,15001
18182,13003
06729,15084
95643,09377
84428,09183
04610,16077
84092,09274
84539,09183
04416,14729
92542,09376
83250,09189
83352,09189
93426,09372
83324,09189
83377,09189
04821,14729
18356,13073
93499,09372
09385,14521
84567,09171
16818,12068
94234,09276
93480,09372
09465,14521
14947,12072
94253,09276
94140,09277
09437,14521
94544,09275
09569,14522
94269,09276
14163,11000
14169,11000
94113,09275
18569,13073
12105,11000
94161,09275
13359,11000
12099,11000
10439,11000
12049,11000
25581,01061
21259,03353
25563,01060
74547,08127
37186,03155
30459,03241
30165,03241
36179,06632
25579,01061
30163,03241
73072,08117
36145,06631
24814,01058
30938,03241
24409,01059
31180,03254
97779,09672
24241,01058
29633,03358
20459,02000
20148,02000
37293,06636
89177,08425
22309,02000
89257,09775
87452,09780
24619,01060
87789,09778
73488,08136
98617,16066
91637,09571
31224,03157
23845,01060
87736,09778
86519,09774
87437,09763
87477,09780
91614,09571
99842,16063
98631,16066
22929,01062
22929,01062
21493,01053
38690,03153
37445,03159
35641,06532
68804,08226
61440,06434
26954,03461
25859,01054
32312,05770
65936,06412
33729,05711
72227,08235
25849,01054
64285,06411
33818,05766
60435,06412
60318,06412
35119,06635
74939,08226
78576,08327
32457,05770
72469,08417
25709,01051
72477,08437
34537,06635
71282,08118
72108,08416
21781,03352
32699,05766
74369,08118
25779,01051
25862,01054
74211,08125
21756,03352
21727,03359
72818,08415
25879,01059
63829,09671
72513,08437
25788,01051
31627,03256
31622,03256
31699,03257
24852,01059
88697,08435
37647,03255
71397,08119
34587,06634
88271,08436
73207,08116
25376,01061
25588,01061
21516,01053
86479,09774
96154,09471
86738,09779
97522,09674
23919,01053
21401,03355
86655,09779
23566,01003
19273,03355
86980,09190
86517,09772
86977,09190
96161,09471
96484,09473
38375,03154
38387,03154
38470,03151
86343,09772
86169,09761
29496,03354
90768,09563
86504,09771
91056,09562
99094,16051
91353,09474
91798,09577
86574,09771
91052,09562
91083,09572
96271,09473
54617,07232
52223,05334
52249,05334
47608,05154
54687,07232
52156,05334
54457,07235
46395,05554
54329,07235
46483,05170
50127,05362
54292,07211
50129,05362
66802,10044
54579,07233
54344,07235
40221,05111
47269,05112
40213,05111
40227,05111
45476,05117
54347,07231
50823,05315
50672,05315
56766,07233
48734,05554
50999,05315
66557,10043
66646,10046
51065,05315
45894,05513
42551,05158
53123,05314
42655,05122
79235,08315
79361,08316
56068,07111
55432,07140
67714,07340
56203,07143
67688,07335
56271,07138
79365,08316
66994,07340
67823,07333
57581,07132
12045,11000
12057,11000
13125,11000
12557,11000
12623,11000
01139,14612
01920,14625
01900,14625
03046,12052
02999,14625
03053,12052
02779,14626
02894,14626
66484,07340
44139,05913
56218,07137
57641,07132
58093,05914
48268,05566
66955,07340
79106,08311
57413,05966
57586,07132
57223,05970
56470,07143
65388,06439
77855,08317
56370,07141
77833,08216
77736,08317
77815,08216
55234,07331
79774,08337
97852,09677
21680,03359
24797,01058
34233,06611
73278,08117
34212,06634
97778,09677
24837,01059
97839,09677
71540,08119
36251,06632
88213,08436
97753,09677
65199,06414
59329,05570
79809,08337
49393,03460
67482,07337
77880,08317
78147,08326
67158,07332
67551,07319
65468,06433
42659,05122
66131,10041
51519,05378
56745,07137
42105,05124
66459,10045
44801,05911
53547,07138
58455,05954
53819,05382
56288,07140
56637,07137
58339,05954
06122,15002
95168,09479
84079,09274
93186,09375
92702,09374
06688,15084
18059,13003
83064,09187
92637,09363
93047,09362
08523,14523
92551,09376
04435,14730
83547,09187
16845,12068
17209,13071
06749,15082
08485,14523
18190,13072
04519,14730
04177,14713
93199,09372
84559,09183
17194,13071
08248,14523
04288,14713
06886,15091
04654,14729
18374,13073
84529,09189
17237,13071
09122,14511
14624,12063
