baseRent,livingSpace,noRooms,condition,interiorQual,lift,typeOfFlat,telekomUploadSpeed,floor,garden,heatingType,yearConstructed,lon,lat
680.0,49.94,2,2,3.0,1,3.0,10.0,3,0,7,2018,8.2745832,49.9631829
420.0,47.99,2,6,2.414155260346322,0,2.5008447819779844,40.0,0,0,1,1956,6.89174864647417,51.4608307
585.0,70.0,3,1,2.0,0,2.0,2.4,1,0,4,1973,6.8199879,50.8976779
1100.0,58.21,2,1,2.414155260346322,1,2.0,10.0,1,0,2,2007,9.9623654693642,53.5907312
320.0,78.0,3,7,2.0,0,2.0,40.0,2,1,2,1907,14.809032177947262,50.88560805
820.33,87.83,3,2,3.0,1,1.0,40.0,0,0,1,2019,13.7294465,51.0172141
570.5,70.0,3,2,3.0,1,2.0,2.4,3,1,2,2015,13.261099974568197,51.3188626
510.0,63.0,2,4,3.0,0,2.0,40.0,1,0,2,2007,7.3242188,51.5067703
1116.3,148.84,5,6,3.0,0,7.0,40.0,2,1,7,1986,12.3574774,51.3745897
790.0,83.0,2,1,3.0,0,2.0,40.0,2,0,4,1965,8.664478222047432,49.9676288
1428.0,102.0,3,5,3.0,1,1.0,40.0,1,1,8,2014,8.4541819,50.0919561
327.0,63.0,2,6,2.0,0,2.0,40.0,3,0,2,1880,12.4428486,50.9930955
570.0,53.77,2,7,2.0,0,2.0,40.0,1,0,2,1958,13.3353404,52.4510827
699.02,75.98,2,7,2.414155260346322,0,1.0,40.0,0,0,10,1929,13.4838756,52.4614565
406.0,58.0,2,1,2.0,0,2.0,40.0,2,0,2,1900,12.364652847616792,51.36117155
1690.0,73.0,2,7,3.0,1,2.0,2.4,3,0,2,1900,11.5617595,48.1223301
325.0,59.0,2,6,3.0,0,3.0,40.0,3,1,2,1990,11.8659646,52.5951335
780.0,70.0,2,6,3.0,0,2.0,40.0,2,0,2,1960,8.218522600000004,50.0860126
961.92,88.1,3,3,2.414155260346322,0,2.0,10.0,1,0,1,1954,13.267515884143965,52.45546585
339.0,67.5,2,8,2.414155260346322,0,2.0,40.0,2,0,2,1890,11.602494783091316,52.1091493
310.0,61.44,3,1,2.414155260346322,0,2.0,40.0,4,0,2,1977,12.0684264,50.839064
215.0,43.0,2,6,2.0,0,2.0,2.4,1,1,2,1900,12.901308140973,50.8407517
299.0,46.0,2,7,2.414155260346322,0,2.0,40.0,2,1,1,1917,12.59201383525394,51.86920495
260.0,57.0,3,6,2.0,0,2.5008447819779844,40.0,2,0,2,1972,12.53024965,50.70018185
1324.0,142.4,4,4,3.0,1,2.0,40.0,2,1,2,2017,13.8033848,51.0348061
470.0,117.0,4,1,2.0,0,3.0,40.0,3,0,2,1960,7.662124391004987,51.59225665
250.0,47.0,2,6,2.0,0,2.0,10.0,3,1,2,1975,10.5846861,50.9985107
360.0,62.0,2,8,1.0,0,2.0,40.0,2,1,2,1985,7.8306918,51.7040899
543.33,75.99,3,3,2.414155260346322,0,2.5008447819779844,40.0,2,0,1,1963,11.1572989,51.7930296
790.0,76.89,2,1,2.0,0,3.0,40.0,4,0,10,1908,13.2043288,52.5438903
272.44,58.59,3,4,2.0,0,1.0,10.0,1,0,1,1977,14.43848,51.1879414
190.0,43.85,1,1,2.0,0,1.0,2.4,0,1,2,1910,12.773118163881168,50.858160600000005
343.5,56.77,2,1,2.414155260346322,1,2.0,40.0,1,0,2,1965,6.3940012,51.2358363
342.0,71.0,3,1,2.0,0,4.0,2.4,3,1,2,1900,12.895536177760867,50.8179767
380.0,69.0,4,2,2.414155260346322,0,2.0,2.4,3,0,2,1974,12.2588559,51.6656275
399.0,79.76,5,4,2.0,0,2.0,40.0,4,0,1,1977,12.882169139657972,50.8057242
222.0,36.63,1,3,2.414155260346322,0,2.0,2.4,2,0,3,1963,12.0934819,51.3914413
752.0,64.0,2,4,2.414155260346322,1,2.0,40.0,1,0,7,2015,13.0907104,52.3859916
415.0,69.25,2,3,2.0,0,2.5008447819779844,40.0,3,0,2,1984,12.2685791,51.3087988
695.0,120.0,4,5,3.0,0,2.0,2.4,2,0,2,2001,10.648931155303336,51.10744565
337.0,51.0,2,3,3.0,0,2.0,2.4,1,1,4,1937,12.417474157539864,51.19586945
530.0,80.0,3,7,3.0,0,3.0,40.0,4,1,2,2009,10.943984001478071,50.83651365
229.0,50.8,2,6,2.0,0,2.0,40.0,3,0,1,1987,13.3383596,50.6587855
1545.0,103.0,3,6,3.0,1,2.0,2.4,2,0,2,1912,13.3248798,52.5012445
970.0,67.05,2,3,3.0,0,2.0,40.0,1,0,1,2018,13.306546461870097,52.50392335
347.44,63.17,2,4,2.414155260346322,0,2.0,40.0,4,0,1,1975,11.4327321,53.5996398
450.0,58.85,2,1,3.0,0,3.0,40.0,2,1,4,1992,13.8861847,51.0683796
890.0,113.0,3,6,2.414155260346322,0,10.0,40.0,1,1,2,1910,8.214445462435002,53.18509885
524.8,64.0,2,3,3.0,0,5.0,10.0,3,0,10,2002,7.2130928,51.4927035
